<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
02/26/16, 16712.70, 16795.98, 16623.91, 16639.97
02/25/16, 16504.38, 16697.98, 16458.42, 16697.29
02/24/16, 16418.84, 16507.39, 16165.86, 16484.99
02/23/16, 16610.39, 16610.39, 16403.53, 16431.78
02/22/16, 16417.13, 16664.24, 16417.13, 16620.66
02/19/16, 16410.96, 16410.96, 16278.00, 16391.99
02/18/16, 16483.76, 16511.84, 16390.43, 16413.43
02/17/16, 16217.98, 16486.12, 16217.98, 16453.83
02/16/16, 16012.39, 16196.41, 16012.39, 16196.41
02/12/16, 15691.62, 15974.04, 15691.62, 15973.84
02/11/16, 15897.82, 15897.82, 15503.01, 15660.18
02/10/16, 16035.61, 16201.89, 15899.91, 15914.74
02/09/16, 16005.41, 16136.62, 15881.11, 16014.38
02/08/16, 16147.51, 16147.51, 15803.55, 16027.05
02/05/16, 16417.95, 16423.63, 16129.81, 16204.97
02/04/16, 16329.67, 16485.84, 16266.16, 16416.58
02/03/16, 16186.20, 16381.69, 15960.45, 16336.66
02/02/16, 16420.21, 16420.21, 16108.44, 16153.54
02/01/16, 16453.63, 16510.98, 16299.47, 16449.18
01/29/16, 16090.26, 16466.30, 16090.26, 16466.30
01/28/16, 15960.28, 16102.14, 15863.72, 16069.64
01/27/16, 16168.74, 16235.03, 15878.30, 15944.46
01/26/16, 15893.16, 16185.79, 15893.16, 16167.23
01/25/16, 16086.46, 16086.46, 15880.15, 15885.22
01/22/16, 15921.10, 16136.79, 15921.10, 16093.51
01/21/16, 15768.87, 16038.59, 15704.66, 15882.68
01/20/16, 15989.45, 15989.45, 15450.56, 15766.74
01/19/16, 16009.45, 16171.96, 15900.25, 16016.02
01/15/16, 16354.33, 16354.33, 15842.11, 15988.08
01/14/16, 16159.01, 16482.05, 16075.12, 16379.05
01/13/16, 16526.63, 16593.51, 16123.20, 16151.41
01/12/16, 16419.11, 16591.35, 16322.07, 16516.22
01/11/16, 16358.71, 16461.85, 16232.03, 16398.57
01/08/16, 16519.17, 16651.89, 16314.57, 16346.45
01/07/16, 16888.36, 16888.36, 16463.63, 16514.10
01/06/16, 17154.83, 17154.83, 16817.62, 16906.51
01/05/16, 17147.50, 17195.84, 17038.61, 17158.66
