<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD000TOM,D,20090408,000000,1.3425000,1.3600000,1.3100000,1.3200000,29808000
EURUSD000TOM,D,20090413,000000,1.3185000,1.3300000,1.3185000,1.3285000,15849000
EURUSD000TOM,D,20090414,000000,1.3346000,1.3346000,1.3254000,1.3254000,5916000
EURUSD000TOM,D,20090415,000000,1.3235000,1.3283000,1.3163000,1.3176000,29114000
EURUSD000TOM,D,20090416,000000,1.3188000,1.3210000,1.3134000,1.3210000,21370000
EURUSD000TOM,D,20090417,000000,1.3094000,1.3115000,1.3045000,1.3051000,13270000
EURUSD000TOM,D,20090420,000000,1.2993000,1.3005000,1.2951000,1.2981000,19977000
EURUSD000TOM,D,20090421,000000,1.2937000,1.2980000,1.2909000,1.2934000,34199000
EURUSD000TOM,D,20090422,000000,1.2941000,1.2964000,1.2887000,1.2950000,39577000
EURUSD000TOM,D,20090423,000000,1.3018000,1.3087000,1.3003000,1.3035000,53603000
EURUSD000TOM,D,20090424,000000,1.3175000,1.3271000,1.3165000,1.3240000,38173000
EURUSD000TOM,D,20090427,000000,1.3147000,1.3168000,1.3099000,1.3114000,21778000
EURUSD000TOM,D,20090428,000000,1.3005000,1.3041000,1.2973000,1.3041000,22330000
EURUSD000TOM,D,20090429,000000,1.3195000,1.3266000,1.3176000,1.3249000,41997000
EURUSD000TOM,D,20090430,000000,1.3304000,1.3455000,1.3229000,1.3229000,40014000
EURUSD000TOM,D,20090504,000000,1.3303000,1.3310000,1.3222000,1.3222000,17696000
EURUSD000TOM,D,20090505,000000,1.3381000,1.3425000,1.3330000,1.3425000,19349000
EURUSD000TOM,D,20090506,000000,1.3291000,1.3371000,1.3282000,1.3367000,19158000
EURUSD000TOM,D,20090507,000000,1.3306000,1.3381000,1.3257000,1.3377000,84518000
EURUSD000TOM,D,20090508,000000,1.3400000,1.3492000,1.3387000,1.3492000,37761000
EURUSD000TOM,D,20090512,000000,1.3620000,1.3701000,1.3612000,1.3660000,55203000
EURUSD000TOM,D,20090513,000000,1.3695000,1.3712000,1.3588000,1.3588000,112668000
EURUSD000TOM,D,20090514,000000,1.3553000,1.3616000,1.3537000,1.3564000,67605000
EURUSD000TOM,D,20090515,000000,1.3614000,1.3614000,1.3515000,1.3557000,61161000
EURUSD000TOM,D,20090518,000000,1.3455000,1.3509000,1.3446000,1.3491000,49417000
EURUSD000TOM,D,20090519,000000,1.3546000,1.3648000,1.3542000,1.3589000,41759000
EURUSD000TOM,D,20090520,000000,1.3592000,1.3708000,1.3588000,1.3677000,86983000
EURUSD000TOM,D,20090521,000000,1.3770000,1.3831000,1.3742000,1.3742000,53510000
EURUSD000TOM,D,20090522,000000,1.3926000,1.3990000,1.3916000,1.3982000,29763000
EURUSD000TOM,D,20090525,000000,1.4025000,1.4025000,1.3965000,1.4003000,2961000
EURUSD000TOM,D,20090526,000000,1.3977000,1.3977000,1.3864000,1.3911000,43088000
EURUSD000TOM,D,20090527,000000,1.3942000,1.3981000,1.3893000,1.3950000,31933000
EURUSD000TOM,D,20090528,000000,1.3826000,1.3898000,1.3819000,1.3888000,42061000
EURUSD000TOM,D,20090529,000000,1.3999000,1.4129000,1.3987000,1.4100000,32775000
EURUSD000TOM,D,20090601,000000,1.4146000,1.4244000,1.4144000,1.4207000,38428000
EURUSD000TOM,D,20090602,000000,1.4128000,1.4278000,1.4104000,1.4231000,35688000
EURUSD000TOM,D,20090603,000000,1.4293000,1.4325000,1.4164000,1.4178000,39936000
EURUSD000TOM,D,20090604,000000,1.4186000,1.4248000,1.4091000,1.4152000,17967000
EURUSD000TOM,D,20090605,000000,1.4199000,1.4260000,1.4144000,1.4144000,7253000
EURUSD000TOM,D,20090608,000000,1.3951000,1.3953000,1.3828000,1.3873000,3625000
EURUSD000TOM,D,20090609,000000,1.3878000,1.3986000,1.3870000,1.3986000,16527000
EURUSD000TOM,D,20090610,000000,1.4104000,1.4140000,1.4067000,1.4070000,12306000
EURUSD000TOM,D,20090611,000000,1.4064000,1.4064000,1.3952000,1.3994000,3965000
EURUSD000TOM,D,20090615,000000,1.3916000,1.3916000,1.3844000,1.3884000,10852000
EURUSD000TOM,D,20090616,000000,1.3832000,1.3920000,1.3821000,1.3904000,10532000
EURUSD000TOM,D,20090617,000000,1.3900000,1.3912000,1.3832000,1.3862000,12369000
EURUSD000TOM,D,20090618,000000,1.3953000,1.3977000,1.3924000,1.3950000,5053000
EURUSD000TOM,D,20090619,000000,1.3944000,1.3946000,1.3895000,1.3930000,4916000
EURUSD000TOM,D,20090622,000000,1.3897000,1.3897000,1.3842000,1.3842000,2185000
EURUSD000TOM,D,20090623,000000,1.3826000,1.4004000,1.3826000,1.3989000,8875000
EURUSD000TOM,D,20090624,000000,1.4082000,1.4127000,1.4018000,1.4080000,18365000
EURUSD000TOM,D,20090625,000000,1.3968000,1.3980000,1.3916000,1.3919000,16490000
EURUSD000TOM,D,20090626,000000,1.4042000,1.4108000,1.4017000,1.4095000,20223000
EURUSD000TOM,D,20090629,000000,1.4010000,1.4074000,1.4000000,1.4062000,8715000
EURUSD000TOM,D,20090630,000000,1.4122000,1.4149000,1.4083000,1.4118000,23230000
