<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,D,20090408,000000,33.4265000,33.4265000,33.1005000,33.3000000,7201000
USD000000TOD,D,20090409,000000,33.6200000,33.6295000,33.4400000,33.4900000,945219000
USD000000TOD,D,20090410,000000,33.5805000,33.6470000,33.5550000,33.5600000,713357000
USD000000TOD,D,20090413,000000,33.5200000,33.5200000,33.4350000,33.4500000,395168000
USD000000TOD,D,20090414,000000,33.3155000,33.4300000,33.3000000,33.3476000,800589000
USD000000TOD,D,20090415,000000,33.4700000,33.4885000,33.3200000,33.3300000,772763000
USD000000TOD,D,20090416,000000,33.4454000,33.4545000,33.3600000,33.3950000,745191000
USD000000TOD,D,20090417,000000,33.4800000,33.4800000,33.3880000,33.4200000,1017453000
USD000000TOD,D,20090420,000000,33.5600000,34.2700000,33.5000000,33.7600000,920964000
USD000000TOD,D,20090421,000000,33.9350000,34.1995000,33.9350000,34.1400000,1084148000
USD000000TOD,D,20090422,000000,34.1400000,34.1400000,33.9000000,33.9400000,922123000
USD000000TOD,D,20090423,000000,33.8500000,33.8798000,33.6100000,33.6600000,718249000
USD000000TOD,D,20090424,000000,33.4455000,33.4455000,33.2950000,33.3150000,881115000
USD000000TOD,D,20090427,000000,33.3025000,33.4445000,33.3025000,33.3989000,904391000
USD000000TOD,D,20090428,000000,33.5000000,33.6200000,33.4949000,33.5400000,947710000
USD000000TOD,D,20090429,000000,33.2005000,33.3695000,33.0755000,33.1000000,1240190000
USD000000TOD,D,20090430,000000,33.0000000,33.0500000,32.8950000,33.0050000,1450493000
USD000000TOD,D,20090504,000000,32.9925000,33.0300000,32.9200000,33.0150000,455332000
USD000000TOD,D,20090505,000000,32.8099000,32.8896000,32.7450000,32.7450000,591589000
USD000000TOD,D,20090506,000000,32.9250000,32.9700000,32.7980000,32.8275000,615650000
USD000000TOD,D,20090507,000000,32.7580000,32.8198000,32.6900000,32.6975000,781312000
USD000000TOD,D,20090508,000000,32.5525000,32.5525000,32.4715000,32.4900000,607541000
USD000000TOD,D,20090512,000000,32.4500000,32.4500000,32.0650000,32.1275000,769761000
USD000000TOD,D,20090513,000000,31.9750000,32.0229000,31.9250000,31.9650000,751494000
USD000000TOD,D,20090514,000000,32.1272000,32.2625000,32.0950000,32.1850000,899526000
USD000000TOD,D,20090515,000000,32.0974000,32.1796000,32.0175000,32.1150000,964308000
USD000000TOD,D,20090518,000000,32.4848000,32.4848000,32.1500000,32.1750000,678972000
USD000000TOD,D,20090519,000000,32.0000000,32.0000000,31.7727000,31.8300000,916857000
USD000000TOD,D,20090520,000000,31.8500000,31.8500000,31.6550000,31.6725000,698039000
USD000000TOD,D,20090521,000000,31.4900000,31.5800000,31.3500000,31.5000000,999606000
USD000000TOD,D,20090522,000000,31.5000000,31.5000000,31.1076000,31.1500000,1120248000
USD000000TOD,D,20090526,000000,31.7500000,31.7500000,31.0300000,31.5000000,971534000
USD000000TOD,D,20090527,000000,31.2500000,31.2500000,31.0704000,31.1050000,937040000
USD000000TOD,D,20090528,000000,31.2925000,31.3872000,31.2126000,31.2575000,1067870000
USD000000TOD,D,20090529,000000,31.0025000,31.0025000,30.7900000,30.8098000,1096927000
USD000000TOD,D,20090601,000000,30.7800000,30.7800000,30.6000000,30.6150000,747996000
USD000000TOD,D,20090602,000000,30.6946000,30.8020000,30.5950000,30.6001000,1124293000
USD000000TOD,D,20090603,000000,30.4808000,30.6725000,30.4502000,30.6500000,917574000
USD000000TOD,D,20090604,000000,30.9000000,30.9998000,30.7300000,30.8650000,805105000
USD000000TOD,D,20090605,000000,30.7150000,30.7995000,30.6353000,30.7550000,832579000
USD000000TOD,D,20090608,000000,31.0525000,31.4250000,31.0200000,31.3900000,849457000
USD000000TOD,D,20090609,000000,31.3125000,31.3500000,31.1919000,31.3100000,961783000
USD000000TOD,D,20090610,000000,30.9050000,31.2100000,30.8475000,30.9100000,886209000
USD000000TOD,D,20090611,000000,30.8600000,30.9646000,30.8200000,30.9250000,659700000
USD000000TOD,D,20090615,000000,31.0650000,31.2900000,31.0650000,31.2250000,809090000
USD000000TOD,D,20090616,000000,31.3700000,31.3700000,31.2000000,31.2400000,706174000
USD000000TOD,D,20090617,000000,31.2000000,31.2675000,31.0900000,31.2325000,744067000
USD000000TOD,D,20090618,000000,31.1500000,31.2000000,31.0725000,31.1950000,905784000
USD000000TOD,D,20090619,000000,31.1000000,31.2050000,31.1000000,31.1350000,803037000
USD000000TOD,D,20090622,000000,31.3131000,31.3300000,31.1800000,31.3200000,806903000
USD000000TOD,D,20090623,000000,31.5150000,31.6200000,31.3900000,31.4200000,949945000
USD000000TOD,D,20090624,000000,31.1350000,31.2200000,31.0950000,31.1801000,1192015000
USD000000TOD,D,20090625,000000,31.2800000,31.2800000,31.1500000,31.2400000,884675000
USD000000TOD,D,20090626,000000,31.1199000,31.1850000,31.0350000,31.1550000,1245698000
USD000000TOD,D,20090629,000000,31.2325000,31.3100000,31.1600000,31.1675000,766377000
USD000000TOD,D,20090630,000000,31.0500000,31.0999000,30.9976000,31.0750000,1331296000
USD000000TOD,D,20090701,000000,31.2350000,31.2350000,31.1000000,31.1425000,865592000
USD000000TOD,D,20090702,000000,31.1273000,31.1650000,31.0925000,31.1650000,856502000
USD000000TOD,D,20090703,000000,31.3225000,31.3225000,31.2152000,31.2635000,987492000
USD000000TOD,D,20090706,000000,31.3300000,31.5151000,31.3300000,31.5151000,1004615000
USD000000TOD,D,20090707,000000,31.4349000,31.5270000,31.3980000,31.4050000,992992000
USD000000TOD,D,20090708,000000,31.6804000,31.8494000,31.6800000,31.7250000,1151702000
USD000000TOD,D,20090709,000000,31.8725000,31.9223000,31.8100000,31.8275000,787428000
USD000000TOD,D,20090710,000000,31.8800000,32.6400000,31.8550000,32.6300000,1594292000
USD000000TOD,D,20090713,000000,32.8501000,33.2141000,32.5405000,32.7191000,1135360000
USD000000TOD,D,20090714,000000,32.6425000,32.6425000,32.2000000,32.3100000,1088029000
USD000000TOD,D,20090715,000000,32.2425000,32.2425000,31.9095000,31.9600000,929770000
