<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20160111,100100,75.5660000,76.7510000,75.5660000,75.9800000,15355000
USD000000TOD,1,20160111,100200,75.9840000,75.9990000,75.8370000,75.8930000,5809000
USD000000TOD,1,20160111,100300,75.8840000,76.0800000,75.8150000,76.0800000,9945000
USD000000TOD,1,20160111,100400,76.1000000,76.2890000,76.1000000,76.1520000,13838000
USD000000TOD,1,20160111,100500,76.1570000,76.1900000,76.0590000,76.0760000,14863000
USD000000TOD,1,20160111,100600,76.0840000,76.1490000,76.0600000,76.0800000,9998000
USD000000TOD,1,20160111,100700,76.0850000,76.1030000,76.0020000,76.1020000,5965000
USD000000TOD,1,20160111,100800,76.1070000,76.1410000,76.0680000,76.1370000,7457000
USD000000TOD,1,20160111,100900,76.1350000,76.1700000,76.1240000,76.1420000,2436000
USD000000TOD,1,20160111,101000,76.1300000,76.3610000,76.1240000,76.3590000,3861000
USD000000TOD,1,20160111,101100,76.3410000,76.4730000,76.2830000,76.3050000,12541000
USD000000TOD,1,20160111,101200,76.3020000,76.4000000,76.2810000,76.3760000,6356000
USD000000TOD,1,20160111,101300,76.3870000,76.4000000,76.3350000,76.3700000,3008000
USD000000TOD,1,20160111,101400,76.3720000,76.3720000,76.2500000,76.2720000,5384000
USD000000TOD,1,20160111,101500,76.2590000,76.2780000,76.2080000,76.2080000,4116000
USD000000TOD,1,20160111,101600,76.2150000,76.2270000,76.1600000,76.1860000,5525000
USD000000TOD,1,20160111,101700,76.1700000,76.1800000,76.1000000,76.1200000,5901000
USD000000TOD,1,20160111,101800,76.1230000,76.1260000,76.0300000,76.0860000,7013000
USD000000TOD,1,20160111,101900,76.0820000,76.1200000,76.0820000,76.1160000,1913000
USD000000TOD,1,20160111,102000,76.1150000,76.1370000,76.1000000,76.1170000,3652000
USD000000TOD,1,20160111,102100,76.1080000,76.1370000,76.1080000,76.1260000,1283000
USD000000TOD,1,20160111,102200,76.1110000,76.1280000,76.0800000,76.0900000,7950000
USD000000TOD,1,20160111,102300,76.0950000,76.1050000,76.0650000,76.0910000,3547000
USD000000TOD,1,20160111,102400,76.0800000,76.1040000,76.0640000,76.0760000,1647000
USD000000TOD,1,20160111,102500,76.0700000,76.0900000,76.0370000,76.0460000,4767000
USD000000TOD,1,20160111,102600,76.0340000,76.0620000,76.0340000,76.0410000,1108000
USD000000TOD,1,20160111,102700,76.0450000,76.0680000,76.0300000,76.0420000,2791000
USD000000TOD,1,20160111,102800,76.0580000,76.1050000,76.0560000,76.1050000,2263000
USD000000TOD,1,20160111,102900,76.0990000,76.1500000,76.0850000,76.0870000,4430000
USD000000TOD,1,20160111,103000,76.1080000,76.1990000,76.0500000,76.0790000,4937000
USD000000TOD,1,20160111,103100,76.0900000,76.1220000,76.0600000,76.1090000,1569000
USD000000TOD,1,20160111,103200,76.0930000,76.1880000,76.0890000,76.1750000,7410000
USD000000TOD,1,20160111,103300,76.1820000,76.2490000,76.1600000,76.1600000,4268000
USD000000TOD,1,20160111,103400,76.1650000,76.2100000,76.1300000,76.1490000,7480000
USD000000TOD,1,20160111,103500,76.1210000,76.1790000,76.1200000,76.1240000,3125000
USD000000TOD,1,20160111,103600,76.1350000,76.1500000,76.1000000,76.1010000,5571000
USD000000TOD,1,20160111,103700,76.1000000,76.1230000,76.1000000,76.1230000,471000
USD000000TOD,1,20160111,103800,76.1180000,76.1390000,76.1000000,76.1390000,1068000
USD000000TOD,1,20160111,103900,76.1400000,76.1500000,76.1200000,76.1220000,491000
USD000000TOD,1,20160111,104000,76.1200000,76.1320000,76.1000000,76.1300000,1540000
USD000000TOD,1,20160111,104100,76.1420000,76.1430000,76.0910000,76.0910000,2512000
USD000000TOD,1,20160111,104200,76.1020000,76.1210000,76.0960000,76.1150000,2555000
USD000000TOD,1,20160111,104300,76.1190000,76.1360000,76.1150000,76.1300000,908000
USD000000TOD,1,20160111,104400,76.1410000,76.1500000,76.1200000,76.1250000,13351000
USD000000TOD,1,20160111,104500,76.1250000,76.1390000,76.1150000,76.1220000,4093000
USD000000TOD,1,20160111,104600,76.1210000,76.1220000,76.1000000,76.1190000,4031000
