CSV_PATH,CREATION_TIME,TICKET_ID,DEAL_DATE,CCY_PAIR,PRODUCT_TYPE,TENOR,ECN,MARKET_SEGMENT,DEAL_ID,DEAL_ID2,EBS_ORDER_ID,CLIENT_ORDER_ID,ORDER_ID2,EXEC_SIDE,SIDE,DEALT_QTY,DEALT_CCY,CONTRA_QTY,CONTRA_CCY,TRADE_DATE,VALUE_DATE,FIXING_DATE,SPOT_SETTL_DATE,SWAP_POINTS,MARKET_PX,PRICE,SPOT_PX,FWD_POINTS,FP_INSTITUTION,ENTERING_USER,FP_NAME,FP_FLOOR,FP_ACCOUNT,FP_TRADER,FP_RCV_CCY,FP_RCV_QTY,FP_LEI,FP_SWIFT,FP_SI_TYPE,FP_SI_BANK,FP_SI_BANK_ACC,FP_SI_BANK_CITY,FP_SI_BANK_LOCATION,FP_SI_SWIFT,CP_INSTITUTION,CP_NAME,CP_FLOOR,ECP_ACCOUNT,CP_TRADER,CP_RCV_CCY,CP_RCV_QTY,CP_LEI,CP_SWIFT,CP_SI_TYPE,CP_SI_BANK,CP_SI_BANK_ACC,CP_SI_BANK_CITY,ENTERING_USER,CP_SI_BANK_LOCATION,CP_SI_SWIFT
"1PSD/1PDD/FF0A-0014-0000-04-100000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-04-100000",2016-01-26 07:10:36,"EUR/USD","FX Outright","TOD","EBSD","RFQ","FF0A-0014-0000-04","44766447_3","0100-2400-001E","IS1-1446726366281-1",,"T","B",3543135,"EUR",3995451.61,"USD",2016-01-26,2016-01-26,,2016-01-28,,1.12766000,"1.12766000",1.12762,0.00004000,"1PSD",,"Tel Aviv PB LC RFQ Performance","1PDD","1PSD",,"EUR",3543135,,"PDD1PDD1","SSI",,,,,,"LPRK","Tel Aviv London Auto RFQ LPR 3 L","LPRK","LPRK",,"USD",3995451.61,,"LPRKLPRK","SSI",,,,,,
"1PSD/1PDD/FF0A-0014-0000-04-1BC000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-04-1BC000",2016-01-26 07:10:36,"EUR/USD","FX Outright","TOD","EBSD","RFQ","FF0A-0014-0000-04","44766447_3","0100-2400-001E","IS1-1446726366281-1",,"T","S",3543135,"EUR",3995451.61,"USD",2016-01-26,2016-01-26,,2016-01-28,,1.12766000,"1.12766000",1.12762,0.00004000,"1PSD",,"Tel Aviv PB LC RFQ Performance","1PDD","1PSD",,"USD",3995451.61,,"PDD1PDD1","SSI",,,,,,"RA78","Tel Aviv PC LC RFQ Performance","RA78","RA78","IS1","EUR",3543135,,"RA78RA78","SSI",,,,,,
"RA78/RA78/FF0A-0014-0000-04-1CA000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-04-1CA000",2016-01-26 07:10:36,"EUR/USD","FX Outright","TOD","EBSD","RFQ","FF0A-0014-0000-04","44766447_3","0100-2400-001E","IS1-1446726366281-1",,"T","B",3543135,"EUR",3995451.61,"USD",2016-01-26,2016-01-26,,2016-01-28,,1.12766000,"1.12766000",1.12762,0.00004000,"RA78",,"Tel Aviv PC LC RFQ Performance","RA78","RA78","IS1","EUR",3543135,,"RA78RA78","SSI",,,,,,"LPDD","Tel Aviv SPOT LC RFQ Performance","LPDD","LPDD",,"USD",3995451.61,,"LPDDLPDD","SSI",,,,,,
"1PSD/1PDD/FF0A-0014-0000-13-100000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-13-100000",2016-01-26 07:10:36,"EUR/USD","FX Outright","6Mth","EBSD","RFQ","FF0A-0014-0000-13","48911009_2","0100-2500-0002","LN2-1446730510994-2",,"T","S",1000000,"EUR",1126640.00,"USD",2016-01-26,2016-01-26,,2016-01-28,,1.12664000,"1.12664000",1.12660,0.00004000,"1PSD",,"Tel Aviv PB LC RFQ Performance","1PDD","1PSD",,"USD",1126640.00,,"PDD1PDD1","SSI",,,,,,"LPRM","Tel Aviv London Auto RFQ LPR 5 L","LPRM","XXYY",,"EUR",1000000,,"LPRMLPRM","SSI",,,,,,
"1PSD/1PDD/FF0A-0014-0000-13-1BC000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-13-1BC000",2016-01-26 07:10:36,"EUR/USD","FX Outright","6Mth","EBSD","RFQ","FF0A-0014-0000-13","48911009_2","0100-2500-0002","LN2-1446730510994-2",,"T","B",1000000,"EUR",1126640.00,"USD",2016-01-26,2016-01-26,,2016-01-28,,1.12664000,"1.12664000",1.12660,0.00004000,"1PSD",,"Tel Aviv PB LC RFQ Performance","1PDD","1PSD",,"EUR",1000000,,"PDD1PDD1","SSI",,,,,,"RA77","Tel Aviv PC LC RFQ Performance","RA77","RA77","LN2","USD",1126640.00,,"RA77RA77","SSI",,,,,,
"RA77/RA77/FF0A-0014-0000-13-1CA000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-13-1CA000",2016-01-26 07:10:36,"EUR/USD","FX Outright","6Mth","EBSD","RFQ","FF0A-0014-0000-13","48911009_2","0100-2500-0002","LN2-1446730510994-2",,"T","S",1000000,"EUR",1126640.00,"USD",2016-01-26,2016-01-26,,2016-01-28,,1.12664000,"1.12664000",1.12660,0.00004000,"RA77",,"Tel Aviv PC LC RFQ Performance","RA77","RA77","LN2","USD",1126640.00,,"RA77RA77","SSI",,,,,,"LPDD","Tel Aviv SPOT LC RFQ Performance","LPDD","LPDD",,"EUR",1000000,,"LPDDLPDD","SSI",,,,,,
"LCPN/LCPN/FF0A-0014-0000-1B-100000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-1B-100000",2016-01-26 07:10:36,"USD/JPY","FX Outright","12Mth","EBSD","RFQ","FF0A-0014-0000-1B","52026709_3","0100-2700-0009","LN2-1446733626696-6",,"T","B",25000000,"USD",2997825000.00,"JPY",2016-01-26,2016-01-26,,2016-01-28,,119.913000,"119.913000",119.913,0,"LCPN",,"Tel Aviv Per LC14 SPOT","LCPN","LCPN","LN2","USD",25000000,,"LCPNLCPN","SSI",,,,,,"LPRM","Tel Aviv London Auto RFQ LPR 5 L","LPRM","XXYY",,"JPY",2997825000.00,,"LPRMLPRM","SSI",,,,,,
"LPRP/1PRP/FF0A-0014-0000-0A-100000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-0A-100000",2016-01-26 07:10:36,"USD/JPY","FX Outright","2Wk","EBSD","RFQ","FF0A-0014-0000-0A","46296689_7","0100-2400-0027","LN2-1446727896678-9",,"T","S",1000000,"USD",119970000.00,"JPY",2016-01-26,2016-01-26,,2016-01-28,,119.970000,"119.970000",119.970,0,"LPRP",,"Tel Aviv PB LP RFQ Performance","1PRP","LPRP",,"JPY",119970000.00,,"PRP1PRP1","SSI",,,,,,"LPRJ","Tel Aviv London Auto RFQ LPR 2 L","LPRJ","LPRJ",,"USD",1000000,,"LPRJLPRJ","SSI",,,,,,
"LPRP/1PRP/FF0A-0014-0000-0A-1BC000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-0A-1BC000",2016-01-26 07:10:36,"USD/JPY","FX Outright","2Wk","EBSD","RFQ","FF0A-0014-0000-0A","46296689_7","0100-2400-0027","LN2-1446727896678-9",,"T","B",1000000,"USD",119970000.00,"JPY",2016-01-26,2016-01-26,,2016-01-28,,119.970000,"119.970000",119.970,0,"LPRP",,"Tel Aviv PB LP RFQ Performance","1PRP","LPRP",,"USD",1000000,,"PRP1PRP1","SSI",,,,,,"PL22","Tel Aviv PC LP RFQ Performance","PL22","PL22","LN2","JPY",119970000.00,,"PL22PL22","SSI",,,,,,
"PL22/PL22/FF0A-0014-0000-0A-1CA000.c1.csv",26 Jan 2016 07:10:39,"FF0A-0014-0000-0A-1CA000",2016-01-26 07:10:36,"USD/JPY","FX Outright","2Wk","EBSD","RFQ","FF0A-0014-0000-0A","46296689_7","0100-2400-0027","LN2-1446727896678-9",,"T","S",1000000,"USD",119970000.00,"JPY",2016-01-26,2016-01-26,,2016-01-28,,119.970000,"119.970000",119.970,0,"PL22",,"Tel Aviv PC LP RFQ Performance","PL22","PL22","LN2","JPY",119970000.00,,"PL22PL22","SSI",,,,,,"LPRP","Tel Aviv Tokyo Auto RFQ LPR 8 LP","LPRP","LPRP",,"USD",1000000,,"LPRPLPRP","SSI",,,,,,
