ACCESS_METHOD,ALGO_TYPE,ASSET_BASE,ASSET_COUNTER,AUDIT_ID,DOMAIN_ID,ECN,ECP_ACCOUNT,ECP_BIC,ECP_CLIENT,ECP_EXEC_ID,ECP_FLOOR,ECP_FLOOR_KEY,ECP_INSTITUTION,ECP_INSTITUTION_KEY,ECP_LEI,ECP_ORDER_ID,ECP_ROLE,ECP_TRADER,EFP_ACCOUNT,EFP_BIC,EFP_CLIENT,EFP_EBS_ORDER_ID,EFP_EXEC_ID,EFP_EXEC_SIDE,EFP_FLOOR,EFP_FLOOR_KEY,EFP_INSTITUTION,EFP_INSTITUTION_KEY,EFP_LEI,EFP_ORDER_ID,EFP_ROLE,EFP_TRADER,END_DATE,EXEC_ID,IND_UNSOLICITED,INSTR_PRODUCT_TYPE,INSTR_SEC_ID,INSTR_SYMBOL,IS_TERM_CCY,MARKET_SEGMENT,ORD_EXPOSURE,ORD_PX_PD,ORD_PX_PD_EXP,ORD_PX_SWAP_POINTS,ORD_PX_SWAP_POINTS_EXP,ORD_QUOTE_ID,ORD_QUOTE_REQUEST_ID,ORD_SIDE,ORD_SUBMITTER_SOURCE,ORD_SUBMITTER_TYPE,ORD_TIME_IN_FORCE,ORD_TYPE,PX_SWAP_POINTS,PX_SWAP_POINTS_EXP,SOURCE_ID,SPOT_SETTL_DATE,TRADE_DATE,TRADE_TYPE,TXN_TIME
5,4,USD,RUB,18,0,2,LPRI,R1DCR1DC,,53157996_14,R1DC,4086,ZRBS,926,,,C,,RA81,RA81RA81,,0100-2800-0002,,T,RA81,4373,RA81,1056,,IS1-1446734757962-8,C,RA1,1454284800000,FF0A-0014-0000-1F,1,3,1209498352892084253,USD/RUB,0,4,,,,102000,-6,,47262043649,0,Sapphire,Manual,1,0,-98000,-6,1,1454457600000,1454284800000,2,1454329315803
5,4,EUR,USD,1,0,2,LPRK,R4KAR4KA,,44766447_3,R4KA,4201,LPRK,887,,,C,,RA78,RA78RA78,,0100-2400-001E,,T,RA78,4370,RA78,1053,,IS1-1446726366281-1,C,IS1,1454284800000,FF0A-0014-0000-04,1,2,8599306274,EUR/USD,0,4,,,,,,,47295611649,0,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315652
5,4,EUR,USD,2,0,2,LPRM,R4MAR4MA,,48911009_2,R4MA,4200,LPRM,889,,,C,,RA77,RA77RA77,,0100-2500-0002,,T,RA77,4369,RA77,1052,,LN2-1446730510994-2,C,LN2,1454284800000,FF0A-0014-0000-13,1,2,1683636551714,EUR/USD,0,4,,,,,,,51557007105,1,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315659
5,4,EUR,JPY,6,0,2,LPRF,LPRFLPRF,,49937288_3,LPRF,4078,ZJPM,962,,,E,,LCLI,LCLILCLI,,0100-2500-0005,,T,LCLI,4398,LCLI,1167,,LN2-1446731537258-4,E,LN0,1454284800000,FF0A-0014-0000-16,1,2,8598913058,EUR/JPY,0,4,,,,,,,51557007105,1,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315692
5,4,EUR,JPY,19,0,2,LPRC,LPRCLPRC,,46243997_5,LPRC,4075,ZSCB,961,,,E,,R4J1,R4J1R4J1,,0100-2400-0025,,T,R4J1,4194,R4J1,892,,LN2-1446727843975-7,C,L12,1454284800000,FF0A-0014-0000-08,1,3,19703626335879202,EUR/JPY,0,4,,,,150000,-6,,47262048001,1,Sapphire,Manual,1,0,150000,-6,1,1454457600000,1454284800000,2,1454329315810
5,4,EUR,CHF,25,0,2,LPRH,LPRHLPRH,,48133241_10,LPRH,4080,LPRH,1221,,,E,,LCRJ,LCRJLCRJ,,0100-2400-002E,,T,LCRJ,4161,LCRJ,910,,LN2-1446729733199-2,E,LN8,1454284800000,FF0A-0014-0000-0F,1,3,18577357061521442,EUR/CHF,0,4,,,,105000,-8,,47262048257,0,Sapphire,Manual,1,0,105000,-8,1,1454457600000,1454284800000,2,1454329315852
5,1,GBP,JPY,7,0,2,LPLL,Z4ALZ4AL,,1,Z4AL,4507,LPLL,1229,,,C,,RA99,RA99RA99,,0100-2400-0016,,T,RA99,4391,RA99,1074,,LN2-1446723245475-1,C,LN2,1454284800000,FF64-0E70-0005-00,1,0,852105,GBP/JPY,0,2,,,,,,,,0,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315699
5,1,USD,RUB,9,0,2,LPRC,LPRCLPRC,,3,LPRC,4075,ZSCB,961,,,E,,R3E1,R3E1R3E1,,0100-2400-0014,,T,R3E1,4184,R3E1,1097,,LN2-1446722296089-3,C,LN5,1454284800000,FF64-0E70-0003-00,1,0,1900685,USD/RUB,0,2,,,,,,,,0,Sapphire,Manual,1,0,,,1,1454457600000,1454284800000,2,1454329315712
5,4,EUR,JPY,20,0,2,LPRD,LPRDLPRD,,46231946_4,LPRD,4076,ZRBS,926,,,E,,R4J2,R4J2R4J2,,0100-2400-0024,,T,R4J2,4195,R4J2,893,,LN2-1446727831927-6,C,L14,1454284800000,FF0A-0014-0000-07,1,3,19703626335879202,EUR/JPY,0,4,,,,-50000,-6,,47262048001,0,Sapphire,Manual,1,0,-50000,-6,1,1454457600000,1454284800000,2,1454329315817
5,4,EUR,JPY,26,0,2,LPRG,LPRGLPRG,,28357419_5,LPRG,4079,ZCSF,963,,,E,,LCPH,LCPHLCPH,,0100-2000-00C7,,T,LCPH,3875,LCPH,942,,AG1-1446537157344-15,E,MT6,1454284800000,FF0A-0012-0000-61,1,3,218424959893602338,EUR/JPY,0,4,,,,150000,-6,,47262039809,1,Sapphire,Manual,1,0,150000,-6,1,1454457600000,1454284800000,2,1454329315860
