ACCESS_METHOD,ALGO_TYPE,AUDIT_ID,CCY_CONTRA,CCY_DEALT,COMPOSITE,CP_ACCOUNT,CP_BIC,CP_CLIENT,CP_FLOOR,CP_FLOOR_KEY,CP_INSTITUTION,CP_INSTITUTION_KEY,CP_LEI,CP_ROLE,CP_SI_BANK,CP_SI_BANK_ACC,CP_SI_BANK_BIC,CP_SI_BANK_CITYCODE,CP_SI_BANK_LOCATION,CP_SI_CCY,CP_SI_TYPE,CP_TRADER,DATE_MATURITY,DATE_SETTLEMENT,DOMAIN_ID,ECN,ECP_ACCOUNT,ECP_BIC,ECP_CLIENT,ECP_EXEC_ID,ECP_FLOOR,ECP_FLOOR_KEY,ECP_INSTITUTION,ECP_INSTITUTION_KEY,ECP_LEI,ECP_ORDER_ID,ECP_ROLE,ECP_TRADER,EFP_ACCOUNT,EFP_BIC,EFP_CLIENT,EFP_EBS_ORDER_ID,EFP_EXEC_ID,EFP_EXEC_SIDE,EFP_FLOOR,EFP_FLOOR_KEY,EFP_INSTITUTION,EFP_INSTITUTION_KEY,EFP_LEI,EFP_ORDER_ID,EFP_ROLE,EFP_TRADER,END_DATE,EXEC_ID,FP_ACCOUNT,FP_BIC,FP_CLIENT,FP_EXEC_SIDE,FP_FLOOR,FP_FLOOR_KEY,FP_INSTITUTION,FP_INSTITUTION_KEY,FP_LEI,FP_ROLE,FP_SIDE,FP_SI_BANK,FP_SI_BANK_ACC,FP_SI_BANK_BIC,FP_SI_BANK_CITYCODE,FP_SI_BANK_LOCATION,FP_SI_CCY,FP_SI_TYPE,FP_TRADER,GENERATION,ID,INSTR_PRODUCT_TYPE,INSTR_SEC_ID,INSTR_SYMBOL,IS_TERM_CCY,LEG_TYPE,MARKET_SEGMENT,ORD_SUBMITTER_SOURCE,ORD_SUBMITTER_TYPE,PX_ALLIN,PX_BD_BASE,PX_BD_ECOM,PX_BD_EXP,PX_BD_SALES,PX_BD_TRADER,PX_BD_VENUE,PX_EFFECTIVE,PX_EFFECTIVE_EXP,PX_EXP,PX_FWDP_ALLIN,PX_FWDP_BD_BASE,PX_FWDP_BD_ECOM,PX_FWDP_BD_EXP,PX_FWDP_BD_SALES,PX_FWDP_BD_TRADER,PX_FWDP_BD_VENUE,PX_FWDP_EXP,PX_PRIME_SPREAD,PX_PRIME_SPREAD_EXP,PX_SPOT_ALLIN,PX_SPOT_BD_BASE,PX_SPOT_BD_ECOM,PX_SPOT_BD_EXP,PX_SPOT_BD_SALES,PX_SPOT_BD_TRADER,PX_SPOT_BD_VENUE,PX_SPOT_EXP,PX_SWAP_POINTS,PX_SWAP_POINTS_EXP,QTY_CNTR,QTY_CNTR_EXP,QTY_DEALT,QTY_DEALT_EXP,SPOT_SETTL_DATE,TENOR_TYPE,TENOR_VALUE,TICKET_TYPE,TRADE_DATE,TRADE_TYPE,TXN_TIME,VC_PX_ALLIN,VC_PX_EFFECTIVE,VC_PX_FWDP_ALLIN,VC_PX_PRIME_SPREAD,VC_PX_SWAP_POINTS,VC_QTY_CNTR,VC_QTY_DEALT
5,4,18,RUB,USD,0,LPDE,LPDELPDE,,LPDE,4232,LPDE,1080,,A,,,LPDELPDE,,,USD,0,,,1454284800000,0,2,LPRI,R1DCR1DC,,53157996_14,R1DC,4086,ZRBS,926,,,C,,RA81,RA81RA81,,0100-2800-0002,,T,RA81,4373,RA81,1056,,IS1-1446734757962-8,C,RA1,1454284800000,FF0A-0014-0000-1F,RA81,RA81RA81,,T,RA81,4373,RA81,1056,,C,1,,,RA81RA81,,,RUB,0,RA1,0,FF0A-0014-0000-1F-1CA001,3,1209498352892084253,USD/RUB,0,1,4,Sapphire,Manual,52799000,,,,,,,52799000,-6,-6,0,,,,,,,-6,,,527990,,,,,,,-4,-98000,-6,5279900000,-2,1,6,1454457600000,12,1,2,1454284800000,2,1454329315803,0.52799E2,0.52799E2,0.0,,-0.98E-1,0.52799E8,0.1E7
5,4,18,RUB,USD,0,LPDE,LPDELPDE,,LPDE,4232,LPDE,1080,,A,,,LPDELPDE,,,RUB,0,,,1454284800000,0,2,LPRI,R1DCR1DC,,53157996_14,R1DC,4086,ZRBS,926,,,C,,RA81,RA81RA81,,0100-2800-0002,,T,RA81,4373,RA81,1056,,IS1-1446734757962-8,C,RA1,1454284800000,FF0A-0014-0000-1F,RA81,RA81RA81,,T,RA81,4373,RA81,1056,,C,0,,,RA81RA81,,,USD,0,RA1,0,FF0A-0014-0000-1F-1CA002,3,1209498352892084253,USD/RUB,0,2,4,Sapphire,Manual,52701000,,,,,,,52701000,-6,-6,-98000,,,,,,,-6,,,527990,,,,,,,-4,-98000,-6,5270100000,-2,1,6,1454457600000,20,0,2,1454284800000,2,1454329315803,0.52701E2,0.52701E2,-0.98E-1,,-0.98E-1,0.52701E8,0.1E7
5,4,6,JPY,EUR,0,LPRF,LPRFLPRF,,LPRF,4078,ZJPM,962,,E,,,LPRFLPRF,,,EUR,0,,,1454284800000,0,2,LPRF,LPRFLPRF,,49937288_3,LPRF,4078,ZJPM,962,,,E,,LCLI,LCLILCLI,,0100-2500-0005,,T,LCLI,4398,LCLI,1167,,LN2-1446731537258-4,E,LN0,1454284800000,FF0A-0014-0000-16,LCLI,LCLILCLI,,T,LCLI,4398,LCLI,1167,,E,1,,,LCLILCLI,,,JPY,0,LN0,0,FF0A-0014-0000-16-100000,2,8598913058,EUR/JPY,0,0,4,Sapphire,Manual,129200000,,,,,,,129200000,-6,-6,40000,,,,,,,-6,,,129160,,,,,,,-3,,,12920000000,-2,1,6,1454457600000,1,0,0,1454284800000,2,1454329315692,0.1292E3,0.1292E3,0.4E-1,,,0.1292E9,0.1E7
5,4,2,USD,EUR,0,LPDD,LPDDLPDD,,LPDD,4231,LPDD,1079,,A,,,LPDDLPDD,,,EUR,0,,,1454284800000,0,2,LPRM,R4MAR4MA,,48911009_2,R4MA,4200,LPRM,889,,,C,,RA77,RA77RA77,,0100-2500-0002,,T,RA77,4369,RA77,1052,,LN2-1446730510994-2,C,LN2,1454284800000,FF0A-0014-0000-13,RA77,RA77RA77,,T,RA77,4369,RA77,1052,,C,1,,,RA77RA77,,,USD,0,LN2,0,FF0A-0014-0000-13-1CA000,2,1683636551714,EUR/USD,0,0,4,Sapphire,Manual,112664000,,,,,,,112664000,-8,-8,4000,,,,,,,-8,,,112660,,,,,,,-5,,,112664000,-2,1,6,1454457600000,4,6,2,1454284800000,2,1454329315659,0.112664E1,0.112664E1,0.4E-4,,,0.112664E7,0.1E7
5,4,26,JPY,EUR,0,LPRG,LPRGLPRG,,LPRG,4079,ZCSF,963,,E,,,LPRGLPRG,,,JPY,0,,,1454284800000,0,2,LPRG,LPRGLPRG,,28357419_5,LPRG,4079,ZCSF,963,,,E,,LCPH,LCPHLCPH,,0100-2000-00C7,,T,LCPH,3875,LCPH,942,,AG1-1446537157344-15,E,MT6,1454284800000,FF0A-0012-0000-61,LCPH,LCPHLCPH,,T,LCPH,3875,LCPH,942,,E,0,,,LCPHLCPH,,,EUR,0,MT6,0,FF0A-0012-0000-61-100001,3,218424959893602338,EUR/JPY,0,1,4,Sapphire,Manual,129399000,,,,,,,129399000,-6,-6,0,,,,,,,-6,,,129399,,,,,,,-3,150000,-6,12939900000,-2,1,6,1454457600000,12,1,0,1454284800000,2,1454329315860,0.129399E3,0.129399E3,0.0,,0.15E0,0.129399E9,0.1E7
5,4,26,JPY,EUR,0,LPRG,LPRGLPRG,,LPRG,4079,ZCSF,963,,E,,,LPRGLPRG,,,EUR,0,,,1454284800000,0,2,LPRG,LPRGLPRG,,28357419_5,LPRG,4079,ZCSF,963,,,E,,LCPH,LCPHLCPH,,0100-2000-00C7,,T,LCPH,3875,LCPH,942,,AG1-1446537157344-15,E,MT6,1454284800000,FF0A-0012-0000-61,LCPH,LCPHLCPH,,T,LCPH,3875,LCPH,942,,E,1,,,LCPHLCPH,,,JPY,0,MT6,0,FF0A-0012-0000-61-100002,3,218424959893602338,EUR/JPY,0,2,4,Sapphire,Manual,129549000,,,,,,,129549000,-6,-6,150000,,,,,,,-6,,,129399,,,,,,,-3,150000,-6,12954900000,-2,1,6,1454457600000,4,12,0,1454284800000,2,1454329315860,0.129549E3,0.129549E3,0.15E0,,0.15E0,0.129549E9,0.1E7
5,4,27,JPY,EUR,0,LPRH,LPRHLPRH,,LPRH,4080,LPRH,1221,,E,,,LPRHLPRH,,,EUR,0,,,1454284800000,0,2,LPRH,LPRHLPRH,,48563700_4,LPRH,4080,LPRH,1221,,,E,,LCPI,LCPILCPI,,0100-2100-0020,,T,LCPI,3876,LCPI,943,,BE1-1446557363592-2,E,MT7,1454284800000,FF0A-0012-0000-86,LCPI,LCPILCPI,,T,LCPI,3876,LCPI,943,,E,1,,,LCPILCPI,,,JPY,0,MT7,0,FF0A-0012-0000-86-100001,3,19703626335879202,EUR/JPY,0,1,4,Sapphire,Manual,129121000,,,,,,,129121000,-6,-6,0,,,,,,,-6,,,129121,,,,,,,-3,-50000,-6,12912100000,-2,1,6,1454457600000,12,1,0,1454284800000,2,1454329315867,0.129121E3,0.129121E3,0.0,,-0.5E-1,0.129121E9,0.1E7
5,4,27,JPY,EUR,0,LPRH,LPRHLPRH,,LPRH,4080,LPRH,1221,,E,,,LPRHLPRH,,,JPY,0,,,1454284800000,0,2,LPRH,LPRHLPRH,,48563700_4,LPRH,4080,LPRH,1221,,,E,,LCPI,LCPILCPI,,0100-2100-0020,,T,LCPI,3876,LCPI,943,,BE1-1446557363592-2,E,MT7,1454284800000,FF0A-0012-0000-86,LCPI,LCPILCPI,,T,LCPI,3876,LCPI,943,,E,0,,,LCPILCPI,,,EUR,0,MT7,0,FF0A-0012-0000-86-100002,3,19703626335879202,EUR/JPY,0,2,4,Sapphire,Manual,129071000,,,,,,,129071000,-6,-6,-50000,,,,,,,-6,,,129121,,,,,,,-3,-50000,-6,12907100000,-2,1,6,1454457600000,3,1,0,1454284800000,2,1454329315867,0.129071E3,0.129071E3,-0.5E-1,,-0.5E-1,0.129071E9,0.1E7
5,4,4,JPY,USD,0,LPRP,LPRPLPRP,,LPRP,4169,LPRP,973,,A,,,LPRPLPRP,,,USD,0,,,1454284800000,0,2,LPRJ,R4JAR4JA,,46296689_7,R4JA,4198,LPRJ,886,,,C,,PL22,PL22PL22,,0100-2400-0027,,T,PL22,4264,PL22,1133,,LN2-1446727896678-9,C,LN2,1454284800000,FF0A-0014-0000-0A,PL22,PL22PL22,,T,PL22,4264,PL22,1133,,C,1,,,PL22PL22,,,JPY,0,LN2,0,FF0A-0014-0000-0A-1CA000,2,575534596125,USD/JPY,0,0,4,Sapphire,Manual,119970000,,,,,,,119970000,-6,-6,0,,,,,,,-6,,,119970,,,,,,,-3,,,11997000000,-2,1,6,1454457600000,3,2,2,1454284800000,2,1454329315678,0.11997E3,0.11997E3,0.0,,,0.11997E9,0.1E7
5,4,3,JPY,USD,0,XXYY,LPRMLPRM,,LPRM,4166,LPRM,889,,A,,,LPRMLPRM,,,JPY,0,,,1454284800000,0,2,LPRM,R4MAR4MA,,52026709_3,R4MA,4200,LPRM,889,,,C,,LCPN,LCPNLCPN,,0100-2700-0009,,T,LCPN,3915,LCPN,948,,LN2-1446733626696-6,E,LN2,1454284800000,FF0A-0014-0000-1B,LCPN,LCPNLCPN,,T,LCPN,3915,LCPN,948,,E,0,,,LCPNLCPN,,,USD,0,LN2,0,FF0A-0014-0000-1B-100000,2,3332903600157,USD/JPY,0,0,4,Sapphire,Manual,119913000,,,,,,,119913000,-6,-6,0,,,,,,,-6,,,119913,,,,,,,-3,,,299782500000,-2,25,6,1454457600000,4,12,0,1454284800000,2,1454329315671,0.119913E3,0.119913E3,0.0,,,0.2997825E10,0.25E8
