COMPOSITE,DATE_MATURITY,DATE_SETTLEMENT,DOMAIN_ID,EFP_EXEC_SIDE,EFP_INSTITUTION_KEY,END_DATE,EXEC_ID,FP_SIDE,GENERATION,LEG_TYPE,PX_ALLIN,PX_BD_BASE,PX_BD_ECOM,PX_BD_TRADER,PX_BD_VENUE,PX_EFFECTIVE,PX_EFFECTIVE_EXP,PX_EXP,PX_FWDP_ALLIN,PX_FWDP_BD_BASE,PX_FWDP_BD_ECOM,PX_FWDP_BD_TRADER,PX_FWDP_BD_VENUE,PX_FWDP_EXP,PX_SPOT_ALLIN,PX_SPOT_BD_BASE,PX_SPOT_BD_ECOM,PX_SPOT_BD_TRADER,PX_SPOT_BD_VENUE,PX_SPOT_EXP,QTY_CNTR,QTY_CNTR_EXP,QTY_DEALT,QTY_DEALT_EXP,TENOR_TYPE,TENOR_VALUE
0,,1452470400000,0,T,1056,1452470400000,FF0A-0014-0000-1G,1,0,1,52799000,,,,,,,-6,0,,,,,-6,527990,,,,,-4,5279900000,-2,1,6,12,1
0,,1452470400000,0,T,1056,1452470400000,FF0A-0014-0000-1G,0,0,2,52701000,,,,,,,-6,-98000,,,,,-6,527990,,,,,-4,5270100000,-2,1,6,20,
0,,1452470400000,0,T,1056,1452470400000,FF0A-0014-0000-1F,1,0,1,52799000,0,0,0,0,,,-6,0,0,0,0,0,-6,527990,0,0,0,0,-4,5279900000,-2,1,6,12,1
0,,1452470400000,0,T,1056,1452470400000,FF0A-0014-0000-1F,0,0,2,52701000,0,0,0,0,,,-6,-98000,0,0,0,0,-6,527990,0,0,0,0,-4,5270100000,-2,1,6,20,
0,,1452470400000,0,T,1167,1452470400000,FF0A-0014-0000-17,1,0,0,129200000,,,,,,,-6,40000,,,,,-6,129160,,,,,-3,12920000000,-2,1,6,1,0
0,,1452470400000,0,T,1167,1452470400000,FF0A-0014-0000-16,1,0,0,129200000,0,0,0,0,,,-6,40000,0,0,0,0,-6,129160,0,0,0,0,-3,12920000000,-2,1,6,1,0
0,,1452470400000,0,T,1052,1452470400000,FF0A-0014-0000-14,1,0,0,112664000,,,,,,,-8,4000,,,,,-8,112660,,,,,-5,112664000,-2,1,6,4,6
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-25,0,0,0,107420,,,,,,,-5,,,,,,,,,,,,,1074200000,-2,1,7,12,1
0,,1452470400000,0,T,943,1452470400000,FF64-0E72-0003-01,1,0,0,135979,,,,,,,-5,,,,,,,,,,,,,135979000,-2,1000000,0,12,1
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-62,0,0,1,129399000,,,,,,,-6,0,,,,,-6,129399,,,,,-3,12939900000,-2,1,6,12,1
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-62,1,0,2,129549000,,,,,,,-6,150000,,,,,-6,129399,,,,,-3,12954900000,-2,1,6,4,12
0,,1452470400000,0,T,943,1452470400000,FF0A-0012-0000-87,1,0,1,129121000,,,,,,,-6,0,,,,,-6,129121,,,,,-3,12912100000,-2,1,6,12,1
0,,1452470400000,0,T,943,1452470400000,FF0A-0012-0000-87,0,0,2,129071000,,,,,,,-6,-50000,,,,,-6,129121,,,,,-3,12907100000,-2,1,6,3,1
0,,1452470400000,0,T,1052,1452470400000,FF0A-0014-0000-13,1,0,0,112664000,0,0,0,0,,,-8,4000,0,0,0,0,-8,112660,0,0,0,0,-5,112664000,-2,1,6,4,6
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-24,0,0,0,107420,0,0,0,0,,,-5,,,,,,,,,,,,,1074200000,-2,1,7,12,1
0,,1452470400000,0,T,943,1452470400000,FF64-0E72-0003-00,1,0,0,135979,0,0,0,0,,,-5,,,,,,,,,,,,,135979000,-2,1000000,0,12,1
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-61,0,0,1,129399000,0,0,0,0,,,-6,0,0,0,0,0,-6,129399,0,0,0,0,-3,12939900000,-2,1,6,12,1
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-61,1,0,2,129549000,0,0,0,0,,,-6,150000,0,0,0,0,-6,129399,0,0,0,0,-3,12954900000,-2,1,6,4,12
0,,1452470400000,0,T,943,1452470400000,FF0A-0012-0000-86,1,0,1,129121000,0,0,0,0,,,-6,0,0,0,0,0,-6,129121,0,0,0,0,-3,12912100000,-2,1,6,12,1
0,,1452470400000,0,T,943,1452470400000,FF0A-0012-0000-86,0,0,2,129071000,0,0,0,0,,,-6,-50000,0,0,0,0,-6,129121,0,0,0,0,-3,12907100000,-2,1,6,3,1
0,,1452470400000,0,T,1133,1452470400000,FF0A-0014-0000-0B,1,0,0,119970000,,,,,,,-6,0,,,,,-6,119970,,,,,-3,11997000000,-2,1,6,3,2
0,,1452470400000,0,T,1133,1452470400000,FF0A-0014-0000-0A,1,0,0,119970000,0,0,0,0,,,-6,0,0,0,0,0,-6,119970,0,0,0,0,-3,11997000000,-2,1,6,3,2
0,,1452470400000,0,T,948,1452470400000,FF0A-0014-0000-1C,0,0,0,119913000,,,,,,,-6,0,,,,,-6,119913,,,,,-3,299782500000,-2,25,6,4,12
0,,1452470400000,0,T,948,1452470400000,FF64-0E70-0001-01,0,0,0,99010,,,,,,,-5,,,,,,,,,,,,,99010000,-2,1000000,0,12,1
0,,1452470400000,0,T,948,1452470400000,FF0A-0014-0000-0C,0,0,1,619294000,,,,,,,-8,0,,,,,-8,619294,,,,,-5,16147419,-2,1,6,12,1
0,,1452470400000,0,T,948,1452470400000,FF0A-0014-0000-0C,1,0,2,639394000,,,,,,,-8,20100000,,,,,-8,619294,,,,,-5,15639809,-2,1,6,4,2
