ALGO_TYPE,AUDIT_ID,CCY_CONTRA,CCY_DEALT,COMPOSITE,CP_ACCOUNT,CP_CLIENT,CP_FLOOR,CP_FLOOR_KEY,CP_INSTITUTION,CP_INSTITUTION_KEY,CP_LEI,CP_ROLE,CP_SI_BANK,CP_SI_BANK_ACC,CP_SI_BANK_BIC,CP_SI_BANK_CITYCODE,CP_SI_BANK_LOCATION,CP_SI_CCY,CP_SI_TYPE,CP_TRADER,DATE_MATURITY,DATE_SETTLEMENT,DOMAIN_ID,ECN,EFP_EBS_ORDER_ID,EFP_EXEC_SIDE,EFP_ORDER_ID,END_DATE,EXEC_ID,FP_ACCOUNT,FP_CLIENT,FP_EXEC_SIDE,FP_FLOOR,FP_FLOOR_KEY,FP_INSTITUTION,FP_INSTITUTION_KEY,FP_LEI,FP_ROLE,FP_SIDE,FP_SI_BANK,FP_SI_BANK_ACC,FP_SI_BANK_BIC,FP_SI_BANK_CITYCODE,FP_SI_BANK_LOCATION,FP_SI_CCY,FP_SI_TYPE,FP_TRADER,GENERATION,ID,INSTR_PRODUCT_TYPE,INSTR_SEC_ID,INSTR_SYMBOL,IS_TERM_CCY,LEG_TYPE,MARKET_SEGMENT,PX_ALLIN,PX_BD_BASE,PX_BD_ECOM,PX_BD_TRADER,PX_BD_VENUE,PX_EFFECTIVE,PX_EFFECTIVE_EXP,PX_EXP,PX_FWDP_ALLIN,PX_FWDP_BD_BASE,PX_FWDP_BD_ECOM,PX_FWDP_BD_TRADER,PX_FWDP_BD_VENUE,PX_FWDP_EXP,PX_PRIME_SPREAD,PX_PRIME_SPREAD_EXP,PX_SPOT_ALLIN,PX_SPOT_BD_BASE,PX_SPOT_BD_ECOM,PX_SPOT_BD_TRADER,PX_SPOT_BD_VENUE,PX_SPOT_EXP,PX_SWAP_POINTS,PX_SWAP_POINTS_EXP,QTY_CNTR,QTY_CNTR_EXP,QTY_DEALT,QTY_DEALT_EXP,SPOT_SETTL_DATE,TENOR_TYPE,TENOR_VALUE,TICKET_TYPE,TRADE_DATE,TXN_TIME,VC_PX_ALLIN,VC_PX_EFFECTIVE,VC_PX_FWDP_ALLIN,VC_PX_PRIME_SPREAD,VC_PX_SWAP_POINTS,VC_QTY_CNTR,VC_QTY_DEALT
1,7,JPY,GBP,0,RA99,,RA99,4391,RA99,1074,,C,,,RA99RA99,,,GBP,0,LN2,,1452643200000,0,2,0100-2400-0016,T,LN2-1446723245475-1,1452643200000,FF64-0E70-0005-00,1PSE,,M,1PDE,4237,1PSE,968,,B,1,,,PDE1PDE1,,,JPY,0,,0,FF64-0E70-0005-00-1BC000,0,852105,GBP/JPY,0,0,2,180177,,,,,180177,-3,-3,,,,,,,,,,,,,,,,,180177000,0,1000000,0,1452816000000,12,1,1,1452643200000,1452680473425,0.180177E3,0.180177E3,,,,0.180177E9,0.1E7
1,7,JPY,GBP,0,LPLL,,LPLL,4495,LPLL,1229,,A,,,LPLLLPLL,,,JPY,0,,,1452643200000,0,2,0100-2400-0016,T,LN2-1446723245475-1,1452643200000,FF64-0E70-0005-00,1PSE,,T,1PDE,4237,1PSE,968,,B,0,,,PDE1PDE1,,,GBP,0,,0,FF64-0E70-0005-00-100000,0,852105,GBP/JPY,0,0,2,180177,,,,,180177,-3,-3,,,,,,,,,,,,,,,,,180177000,0,1000000,0,1452816000000,12,1,0,1452643200000,1452680473425,0.180177E3,0.180177E3,,,,0.180177E9,0.1E7
1,7,JPY,GBP,0,LPDE,,LPDE,4232,LPDE,1080,,A,,,LPDELPDE,,,JPY,0,,,1452643200000,0,2,0100-2400-0016,T,LN2-1446723245475-1,1452643200000,FF64-0E70-0005-00,RA99,,T,RA99,4391,RA99,1074,,C,0,,,RA99RA99,,,GBP,0,LN2,0,FF64-0E70-0005-00-1CA000,0,852105,GBP/JPY,0,0,2,180177,,,,,180177,-3,-3,,,,,,,,,,,,,,,,,180177000,0,1000000,0,1452816000000,12,1,2,1452643200000,1452680473425,0.180177E3,0.180177E3,,,,0.180177E9,0.1E7
4,3,JPY,USD,0,XXYY,,LPRM,4166,LPRM,889,,A,,,LPRMLPRM,,,JPY,0,,,1452643200000,0,2,0100-2700-0009,T,LN2-1446733626696-6,1452643200000,FF0A-0014-0000-1B,LCPN,,T,LCPN,3915,LCPN,948,,E,0,,,LCPNLCPN,,,USD,0,LN2,0,FF0A-0014-0000-1B-100000,2,3332903600157,USD/JPY,0,0,4,119913000,,,,,119913000,-6,-6,0,,,,,-6,,,119913,,,,,-3,,,299782500000,-2,25,6,1452816000000,4,12,0,1452643200000,1452680473387,0.119913E3,0.119913E3,0.0,,,0.2997825E10,0.25E8
4,5,JPY,EUR,0,LPRE,,LPRE,4077,ZCBK,927,,E,,,LPRELPRE,,,JPY,0,,,1452643200000,0,2,0100-2700-0007,T,LN2-1446733008758-5,1452643200000,FF0A-0014-0000-1A,LCLH,,T,LCLH,4397,LCLH,1166,,E,0,,,LCLHLCLH,,,EUR,0,LN2,0,FF0A-0014-0000-1A-100000,2,335016427554,EUR/JPY,0,0,4,129220000,,,,,129220000,-6,-6,0,,,,,-6,,,129220,,,,,-3,,,12922000000,-2,1,6,1452816000000,7,1,0,1452643200000,1452680473403,0.12922E3,0.12922E3,0.0,,,0.12922E9,0.1E7
4,4,JPY,USD,0,LPRJ,,LPRJ,4163,LPRJ,886,,A,,,LPRJLPRJ,,,USD,0,,,1452643200000,0,2,0100-2400-0027,T,LN2-1446727896678-9,1452643200000,FF0A-0014-0000-0A,LPRP,,T,1PRP,4240,LPRP,973,,B,1,,,PRP1PRP1,,,JPY,0,,0,FF0A-0014-0000-0A-100000,2,575534596125,USD/JPY,0,0,4,119970000,,,,,119970000,-6,-6,0,,,,,-6,,,119970,,,,,-3,,,11997000000,-2,1,6,1452816000000,3,2,0,1452643200000,1452680473395,0.11997E3,0.11997E3,0.0,,,0.11997E9,0.1E7
4,4,JPY,USD,0,PL22,,PL22,4264,PL22,1133,,C,,,PL22PL22,,,JPY,0,LN2,,1452643200000,0,2,0100-2400-0027,T,LN2-1446727896678-9,1452643200000,FF0A-0014-0000-0A,LPRP,,M,1PRP,4240,LPRP,973,,B,0,,,PRP1PRP1,,,USD,0,,0,FF0A-0014-0000-0A-1BC000,2,575534596125,USD/JPY,0,0,4,119970000,,,,,119970000,-6,-6,0,,,,,-6,,,119970,,,,,-3,,,11997000000,-2,1,6,1452816000000,3,2,1,1452643200000,1452680473395,0.11997E3,0.11997E3,0.0,,,0.11997E9,0.1E7
4,0,USD,EUR,0,LPRL,,LPRL,4165,LPRL,888,,A,,,LPRLLPRL,,,USD,0,,,1452643200000,0,2,0100-0A00-0013,T,NOS-e3cafd0d-8fb3-4737-a4af-ad83d3b5e332,1452643200000,A7E8-2770-E32E-3A,LCRI,,T,LCRI,4160,LCRI,909,,E,0,,,LCRILCRI,,,EUR,0,MYT,0,A7E8-2770-E32E-3A-100000,2,2223335,EUR/USD,0,0,4,107536000,,,,,107536000,-8,-8,0,,,,,0,,,107536,,,,,-5,,,1182896000,-2,11,6,1452816000000,1,1,0,1452643200000,1452680473174,0.107536E1,0.107536E1,0.0,,,0.1182896E8,0.11E8
4,1,USD,EUR,0,LPRK,,LPRK,4164,LPRK,887,,A,,,LPRKLPRK,,,USD,0,,,1452643200000,0,2,0100-2400-001E,T,IS1-1446726366281-1,1452643200000,FF0A-0014-0000-04,1PSD,,T,1PDD,4236,1PSD,967,,B,0,,,PDD1PDD1,,,EUR,0,,0,FF0A-0014-0000-04-100000,2,8599306274,EUR/USD,0,0,4,112766000,,,,,112766000,-8,-8,4000,,,,,-8,,,112762,,,,,-5,,,399545161,-2,3543135,0,1452816000000,1,0,0,1452643200000,1452680473245,0.112766E1,0.112766E1,0.4E-4,,,0.399545161E7,0.3543135E7
4,1,USD,EUR,0,RA78,,RA78,4370,RA78,1053,,C,,,RA78RA78,,,EUR,0,IS1,,1452643200000,0,2,0100-2400-001E,T,IS1-1446726366281-1,1452643200000,FF0A-0014-0000-04,1PSD,,M,1PDD,4236,1PSD,967,,B,1,,,PDD1PDD1,,,USD,0,,0,FF0A-0014-0000-04-1BC000,2,8599306274,EUR/USD,0,0,4,112766000,,,,,112766000,-8,-8,4000,,,,,-8,,,112762,,,,,-5,,,399545161,-2,3543135,0,1452816000000,1,0,1,1452643200000,1452680473245,0.112766E1,0.112766E1,0.4E-4,,,0.399545161E7,0.3543135E7
